id_recinte,id_ua,capa_dwg,superficie_dwg,nom_dwg,assignat_per,estat,vist_a,nota,centre_x,centre_y,canvi
R0158,CAL_NOTARI_11,01 1 UA SUC,1769.1,Cal Notari 11,proposta,vigent,parcelles.json,,537802.3,26301.81,IGUAL
R0159,,01 1 UA SUC,192.9,,,vigent,parcelles.json,,537804.63,26097.7,IGUAL
R0160,CAL_NOTARI_6,01 1 UA SUC,6845.0,Cal Notari 6,proposta,vigent,parcelles.json,,537804.82,26248.98,IGUAL
R0161,SOLA,01 1 UA SUC,4127.5,Solà,proposta,vigent,parcelles.json,,537806.56,26521.73,IGUAL
R0162,TORRENTS_DE_L_OBAC_3,01 3 UA SUBLE,11144.4,Torrents de l'Obac 3,proposta,vigent,parcelles.json,,537813.42,25882.22,IGUAL
R0163,COLOMINES,01 3 UA SUBLE,17769.2,Colomines,proposta,vigent,parcelles.json,,537822.04,26653.4,IGUAL
R0164,COPRINCEP_EPISCOPAL_1,01 1 UA SUC,317.6,,proposta,vigent,parcelles.json,,537830.74,26266.08,IGUAL
R0165,CAL_NOTARI_5,01 1 UA SUC,317.6,,proposta,vigent,parcelles.json,,537830.74,26266.08,IGUAL
R0166,VALIRETA,01 1 UA SUC,6207.1,Cal Notari 4; Valireta,proposta,vigent,parcelles.json,,537833.46,26409.68,IGUAL
R0167,TORRENTS_DE_L_OBAC_1,01 1 UA SUC,4300.9,Torrents de l'Obac 1,proposta,vigent,parcelles.json,,537860.13,26018.36,IGUAL
R0168,PRAT_DEL_BAU,01 1 UA SUC,11109.9,Prat del Bau,proposta,vigent,parcelles.json,,537863.79,26478.25,IGUAL
R0169,,01 3 UA SUBLE,133.3,,,vigent,parcelles.json,,537876.04,25945.04,IGUAL
R0170,TOSA_2,01 3 UA SUBLE,8732.2,Tosa 2,proposta,vigent,parcelles.json,,537882.31,27799.54,IGUAL
R0171,CLOS_1,01 2 UA SUNC,5426.9,Clos 1,proposta,vigent,parcelles.json,,537888.27,26248.59,IGUAL
R0172,CAL_NOTARI_4,01 1 UA SUC,1496.6,,proposta,vigent,parcelles.json,,537890.75,26461.43,IGUAL
R0173,CANEMAR_2,01 1 UA SUC,10609.1,Canemar 2,proposta,vigent,parcelles.json,,537894.19,26588.96,IGUAL
R0174,CLOS_2,01 1 UA SUC,1829.6,Clos 2,proposta,vigent,parcelles.json,,537908.61,26276.9,IGUAL
